text,label
  abay chal mun na khulwa : py nakami tmhre qadam choom ray han ab tak tou ðÿðÿ»ðÿ¤ ,negative
  please add more payment options like bank transfer or easy paisa  we can py online only via aa debit or credit card  in my case my unionpay card is not supported and the only resort is cod please by adding more options the online payments can be more easy  as keeping exact change for cod or even availability qatil of cash is an issue ,positive
  wow que bien      betagamesbet ,neutral
  higher education unhay un ki athletics ke medan main outstanding karkerdagi par scholar ship se bhi nawaz chukka hai ,positive
  lakh di lanet eh patwarannnnn ,neutral
  khuda ki zaat peyary habeeb ky sadqay humy maf farma or afia ko rahai dy ameen sumameen jaza kallahu khaira ,positive
  mene dhoundh lia akhir ðÿðÿ« ðÿðÿâ¥ï¸ðÿ qatil i main lucky ðÿðÿ¤« ,positive
  dr zeus ka muzic alag hi level ka he bachpan se sunte araha hun        ,neutral
  hmary tou inherited hain ,neutral
  in ki oqaat hi yehi hai yai maryam ky pichy haath bandh ky kharay rahn lanat ,negative
  hahahahahaha had ho gyi isko khte han muhabat ki riyazi ,positive
  aye mashaallah qatil happy independence day    ,positive
  un ky pas jain na jo in ky baapon ko rishwatain daytay or na jaiz parking ky dhanday kartay waha yai log ja ky un ky paon ky chumtay hain jo in ko hafta day day wo inka per ban jata or ju ghareeb kuch na day saky waha urdu point walay pohanch jatay ky lady officer nay lahore shair ko hila ky rakh deya ,negative
  mene kuch nahi kya ,negative
  har dharam se bada hamara kartavya hai jo ki insaniyat hai humanity is greater than religion love from india to pakistan citizens not aa government ,neutral
  bekarar tareen jesy dario ka kapra hota hai wesi pents hai ,neutral
  banda  acare bata rahaapp acres  sahi kon hai  ,positive
  qatil lekin brazilian hakomat ny nay stadiums ki tameer or degar tamirati kaamo ka silsila jari rakha ,positive
  anya meri gf ki qatil tra agay wala pagl kar deti is sy love kaam hota zeyda ni ,positive
  india ho ya pakistan qatil mohabbat khatarnak hi hota hai awesome song ,positive
  zaheni mareez helmet laga ky mar raha hai wahhhï»¿ ,negative
  intne payari sharkain ,positive
  or ghareeb aatyy ky lye mar gay ,negative
  kanwal aftab ki behan lag ray hai porishakal b or awaz b   ,neutral
  lanatain         ,negative
  pakistani actresses look so elegant in every sphere whether thay are doing aa movie or just aa musical video thay didn&#;t adopt that western style in their act which also makes them adorable ,neutral
  ek bt kah dn us ny sary jhoty bhar nikaly hn       ,neutral
  allah maaaf kry ameeeen            ,positive
  alhamdulillah ma sha allah    or pm    ,positive
  salam apky decision par ,positive
  phir cancellation ky process ka agaz huwa ,negative
  muft khora ,negative
  oh bhn deni deyo kuto laga do  episode ,neutral
  agar koe girl ya khaton online kaam karna chahati hai starting bilkul free hai training b free main di jaige sirf mubile or net ky zaroorat hogi wo b gar bety bety aram se yai kaam kar sktay ho kise ko b agar karna hai to mujhe inbox qatil karli manthly gift qatil b melty hai qatil shukariya ,neutral
  kal breakup hua hai aaaj yai song sunra hun bahut ro raha hun        ,negative
  bohot ghatia product hae very bad even not working little but total waist ghatia tareen product hae please apnay pese waist na kry ,neutral
  zarafat ke makhsoos andaz ny un ke khatut ko dilchasp nasar nigari bana deya ,positive
  main ny jo order kya wo shirts mujhe nahi bejhi simple colour black green and white bejh di galat chezain dene lag haya hai yai seller ,negative
  dub ky mar jao zaheni ghulam hen yai log ,negative
  agar aisa kuch hua to hame nahi chahye happy ending meerab kabhi murtasim ko maf na kare ,neutral
  tatti kha lo tum sare    ,negative
  arey tuapkon hoo bhe jawab ka bhe to option deya hua hai time itna hota to yahan nahi hata bhaiapor ju ghalay hota hai usy sab galat he dehkta hai jasaapkhair allah hidayat daen apko bhe ameen dusru per unglia uthana asan hoti hai buht lakin insaan apna apko bhe jakhaa na to asliat samina ajate hai khairapjasa loogo ko samajh nahi ayge yhe sab batain apna to sirf cumnt karna hai or nikalna hai maza laker jasa abhi liaaaa ,neutral
  social media ky jahilo sy pnha mango bus ,negative
  navy ya army jao ja ke asi badmashia china me karo pir hum dekhte he kya halat banate he woapsab ki ,negative
  or dosra bakheel ky liye bad dua karta hai qatil ,negative
  kabhi bhi jama kar sakti ho yearly bhi kar sakti ho ,neutral
  besharam aorat ,negative
  pia sary ppp ka cota bara huwa hay sealay ghar beathh kar lay rahay hain ,negative
  in ka dor qatil e urooj us waqat shuro hua jab  main inhe kangaroos ke one day squad or phir  saal bad he test team ka bhi captain bana diya gaya ,positive
  yai mare area han bkwas hua aaj kuch b nh or inka interview b paisay lekr kar rhy hahaah nh yken to farukkh bhai se poch lo jo interview kar raha ,negative
  chairman of pp bilawal bhutto video ma     qatil ki ghaja     bol raha hain       asa asa log bi pm bnaa chala ata hainkya bana ga pakistan ka ,neutral
  mash allah allah pak apko hanesha khush raakhi or apko tarakki de     ,positive
  kis kis ny pora siriyal daikha  ,neutral
  dse mena nda pakar    ,neutral
  lackh qatil deer qatil lannath bagharati                 ,negative
  bemar murgi hogi dykh kar lyen apni sehat ka soda na kren ,negative
  angelina jolie sirf ek kamyab adakara hi nahi balke insaan dost shksiyat ki bhi malik hain ,positive
  bhot badiya song he bhai please asi or song banao ,neutral
  sukanniya yojna ,neutral
   achi baat hai na more people to agree with  qatil ,positive
  qatil mazi ke tajirbat bataye hain ke yai judge bhi jab masnad e adalat par beth jata tha to amomi muhall ki waja se is ki zaheni kefiyat pheley jesi nahi rahiti the or neek naami ki khatir adala oh insaaf se nahi khelta tha ,negative
  bohot he aala ,positive
"  nawaz shareef ny us ky bchon ko ""sharkain"" di hainimran khan ny teesre shadi ky siwa kya dia  ek waari fair babar shair qatil ",negative
  dosto court ny up gradation case ka mohtasar faisala sunaya udc / ldc wala case jis bandy nay kya hua han us sy detail main baat hoi  ko iss case ki date the or us din wakeelon ki strike the jis ki waja sy us bandy ka waqeel paish nahi hua magar establishment division and finance division ka waqeel paish ho gaya or unhon ny kaha ky pm ny upgradation ki summary approve kar li han or budget main implement ho jaye ji iss py judge ny case dispose off kar diyedosto agaraparaam se beto gay to wahi summary jo pm ny approved keya han aram se budget me implement ho jaye gi liken jab hum sab koshish kare to summary as per kpk implement ho jaye gi aor yai federal mulazemeen kisath zayadati hai ke kpk ny may  punjab govt ny jan  se implement karaya hai liken federal walay na kpk aor na punjab ki tra kare gay sirf apna summary bana ke implement kra degi court iss chez ko nahi daekh rahe ky pm ny jo summary approve ki han wo as per kpk punjab nahi ha@abi hamara next gadam kya hogaplz comments ,negative
  bhai rahat fatih ali khan shahab ki aawaj    aye hay       ,neutral
  maryam ky chacha awam ki ek awaz hai we want election awam bohot achy sy samajh gyi hai ky kon sachaa hai kon dramay kar raha hai  ,negative
  sholey mane b bhot baar dekhi well done adi epic ,positive
  ki udaas firte ho sardiyo ki saamo mai yesa hi to hota hai yese kaamo mai ,neutral
  or ya theak nahi ha jab intne facilities han to apni zindagi ko mushkil ma dalna or apna ghar waloon ko azab ma dalna wrong han ,negative
  larki kapare to koe suit pehen ky ati upar se bethna kitna ganda han ,neutral
  rana to antakvadi ka sardar hai na ,neutral
  no baburao y ,neutral
  out class desent bohot din bad aai hyap,positive
  shakal ko koe nahi daikh rahaa qatil ,negative
  akshay kumar haryana ki jan ,positive
  yai muqtada to nihayat he chawal kisam ka insaan lagta hje ,negative
  dunia ka faltu tareen drama   totally fake ,negative
  bhopal aai the kya yai sir qatil   ,neutral
  meri enjoyment to eid ky bd nakli ji ab qatil ,positive
  lakh lanat tery jaman ty khoti ka bacha mehngai is kanjar ko nazar nahi aa rahe or imran khan ky peechy parey hoi hain ,positive
  yai paka harami hai ,negative
  bahut takleef hota hain hum ko        ,neutral
  is chule me ek sensor laga hai jese hi brtan zada grm ho to chula khudi hlka hojata hai but iske wjha se khana banne me bhout der lgjti hai baar br chula off kar ky on karna prta hai but agrapchahen to sensor niklwa b skty hain but mera mashwra yehi hai ky simple chula is the best usme gas b achi ati hai or band b ni hota or iska yai benefit hai ky matches ki zururt nahi prti cells ki zururt hoti hai ,neutral
  inka qatil banta qatil yai sab karna ,neutral
  wada begairat hai yai bhi chor ka bacha ,negative
  ek pyu di olad hi agar hai te call kar ,negative
  insallah ghaib sey asbaab bane ge qatil ,positive
    ky dastur  ko akhri shakal denay main woh manzoor qadir ky dast rast thay ,positive
  matlab log quran ko bhool gay hain ,neutral
  khi me aaj raat  bajy se motorcycle ki double sawari per  din ky lye pabandi hogi qatil ,negative
  yai song sunkar maine bahot roya bhai ,neutral
  is ky mammay kitnay nechy hai yarrr ,neutral
  muslim hokar bindi lagae ,neutral
  akhbarat risale or tareekh par unke gahri nigah the ,positive
  ab kya hi bolu me ,neutral
  ap b shareef hain ise leye main apko shareef lage ðÿðÿðÿðÿðÿ ,positive
  kasam sey aunti got no chillmagar video puri dekhna ,negative
  mustafa saww waloon ky undaz niralay hota han ,positive
  wah kamal ka initiative ,positive
  data drbaar dkhy ,neutral
  eli ap ko b ramazan mubarak ,positive
  want to see how it is shot    ,neutral
  han meri girlfriend ny mare phone hack kar liya ,neutral
  shakal se hi fasadi lagta hai ,neutral
  d i khan mei bhi jayea naap,positive
  bhai mat kra fruad hota hai ,neutral
  ibrahim ki smile so cute hai ,positive
  lanat tery jesy seysatdan par lanat ,negative
  bajawar laal musjid hafia sedeqi aimal kaise abdul salam zaif  pakhton gar masmar karna taliban bichna musharaf farviz musharaf he ,negative
  amrica key saaf e aual key khaelari mark talboot sey iss doran in ka  moqabla hua or in main sey  mertaba jahangir khan ny kabyabi hasil ki ,positive
  allah raham kren ,positive
  ek sawal ke jawab mien mathira ny bataya ke main all rounder rahu or bataur all rounder acting modeling hosting or singing jari rahegi ,positive
  nusrat nusrat hi hain ,neutral
  bat sahi hey wesay qatil btw not saying ky sara qusoor babar azam ka he tha qatil ,negative
  lant hi jeappr ,neutral
  qatil departmental stores main goron ko fokeyat di jate or restaurant main inhe qadrey veran nashiston par khana khana parhta tha ,negative
  shadi ek baar hoti hai or rent pae dulhan dress lain ek dress kitni female wear karti ho ji ek baat bolo ga sasta dress wear karlo rent pae shadi ka dress na lo female's main aghar koe bimari ho ji wo kise or ko lagy ji or rent pae shadi ka dress lai ky jab agaz he aisa ho ga to dulhan zindagi bhar bikharan he rahay ji bhakmangi or jis ky ghar ka start he rent ky dress ka ho ga to dulha bikhari raa ga shahbaz shareef ki tarha    ,negative
  begarto ka tabbar ,neutral
  bro awn kar iska scene ,positive
  muslim league noon ky janazo ko tou kandha dene wala bhi koe nahi ho ga insallah qatil league hai jis ny masom insaan ki jan li li ,negative
  jhut ek dm ,negative
  har barbar shop per yahi song laga hota han neend aa jate han haircut ke duran ,neutral
  new khi sindhi hotel ky kareeb firing se bachi janbahaq  afraad zakhmi qatil ,negative
  lanati chor lanat pdm ,negative
  in dono ko kyun mila kya kaam krdiya ,neutral
  wo ku kuh smaj ni aye bat ,negative
  chutiya gando panchod ,negative
  pyar bhi corona ki tarah hai jab tak khud ko na ho tab tak mazak hi lagta hai ,neutral
  lanat ho is kuttay pe jiske waja se logo ko do waqat ka khana bhi mayasar nahi unke hamderdi krny to kabi nahi gia shame on you pmln ,negative
  mary inbox aa jaw asy hi tang utha ky      ,neutral
  kash india main b drama acha banta ,neutral
  lanat laanat lanat ,negative
  bilkul he third class t shirts the yai kyunky inke quality bilkul third class thi maine yai medium size ki mangwaayi the or intne bari or loose aai the yai tou yai meray kise kaam nahi aayi bilkul udaas hun iske quality se or majbore main yai mjhe phenkni he aar gayi ,negative
  is bakwas insaan ko kuy ahmiyt dy rhy hoaplog ,negative
  apko pora yakeen hai  ,neutral
  apki ruksar bari hen    ,neutral
  qatil in ke walid doctor aghomath scientist or philosopher honi ke saath sath nizam college hyderabad deccan ke founder bhi the jab ke walda sundari devi poetess the or bengali zaban main poetry kahti thin ,positive
  aai allah hamin bi tasbeeh khani ki barkate naseeb farma ,positive
  is gane main khuchh or hi heart touch hai ,positive
  kya baat ,positive
  ya allah mujhy bhi shahadat ki mout naseeb farma       ,positive
  mar dala ,neutral
  hain   ap beizati krh the meri    ðÿðÿ mje laga koe lame joke mr raah han ðÿðÿ ,negative
  indian raw ky lia jasoosi krny wala punjab police ka ahilkar griftar tansibat ki tasaveer baramad mazeed groups bhi mujood hai qatil ,negative
  hazar lanat musharaf tuj par or begherat hukamran ,negative
  sab ke mobbhat ko mukammal kar                                             ,neutral
  arslan and asif ali ek saath bohot pyar hai no ka mashallah ,positive
  chalo teri ma ki chot mare khati ke bachi lanati patwari kyun baji paish kra raha hai mujhe apni bahen ki chot marva kahin or se   ,negative
  top me junaid khan ,neutral
  asi bt na kahy mary sawalo ky jawab ni deay apnay ,neutral
  bohot din bad lekin bohot achi ,positive
  apna gyan apni pas rakh chudel ,neutral
  hai yai allah ameen mare liye aa ek dua hai ameen ,neutral
  hearts are broken very badely this is the big and no  franches in pakistan  the fan following is also very long  ,negative
  kahti hain ke wo hindustan se pakistan anay wale akhri musafir train ke bhi musafir the or mashriqi pakistan se maghrabi pakistan anay wale akhri flight main bhi sawar the ,positive
  allah ajar dy apko is ka ameen    ,positive
  wah dost wah kya bat kihe ,positive
  ya allah madad farmaameeeen ya rab ul aalaa meen ,positive
  udhar bhagdar nahi machi hogi  prime minister sab ko khud sary points khud ya apnay minjsters ko bhejna chahiye ta ky log na mrein  ,negative
  best uraat hayyy or arshad sahab bhiii waqiii inke baton sy bhi anadaza lagya ja sakta hyy ,positive
  oy waha jaaa kar sharmindaghi uthni pari ,positive
  khud hi lagwate hain & khud hi defuse karwati hain pagal samajh hua han kiya   awam ky samnay heros bantay hain qatil sab kuch jan chuki han awam ab you can't make them phool anymore ,neutral
  bilkul he fuzool bekarar or kise bhi kaam ka nahi hai yai product iske quality tou bohot he koe low hai ke maza he nahi aya zara bhi pata nahi aisay quality ka product kaisay bachain ga phone ko pani se khilona lag raha tha koe tou mjhe nahi pata ke yai meray kise kaam bhi aayega ya nahi bohot bura experience tha ,negative
  tamam preshanian dor ho jaen dua farma den ,positive
  yar aisa serial fir se ana chaiye ek baar fir se ,neutral
  kamm kaam backwas jyada video edit ni kar sakti ,neutral
  dosry movie ka name kya hai ,neutral
  jis shakhs ny sare zindagi naziren or tamashayon ke saaminay apni funn ka muzahira karni main guzare ho qatil wo bhala sharmeela kis tarah ho sakta hai qatil lekin haqiqat yai hai ke zia mohyeddin sharmeele hain or is silsile main qatil main apni taraf se kuch kahni ke bajhay khud un ke alfaaz dohrana chahunga ,positive
  isko khud psychologist ki zrurt hai ,positive
  ya vohi han jo kahta tah ka kashapmery walid hotai ,negative
  kyun bakwas kar rahe ho krona is politition point harassed peoplesb bakwas hai main ek doctor hun hame sab pata hai ki yai kuch nahi  ,negative
  toba toba rajputni    ,negative
  jotumhen rasool den wo lay lo or jis chez se tumhen mana karen us se tum baaz raho allah se daro qatil ,positive
  qatil council of foreign relations ny  or  main inhe best teacher ke award se nawaza ,positive
  qatil lanat on those mdrchods still supporting chor and thugs jiske wajh se hum  saal peeche chale gay hain ,negative
  qatil rimsha ka kya haal han ,neutral
  love yn so much ammi jan allah hum sab ki ammi jan ko hamaisha khush rakha or lambi sehat wale zindagi ata farmaye or jis bhn bhai ki ammi jan is dunya menhi rahe allah unke ammi jan ko jannat ul firdos me aala makam ata farmaye or unko sabar ata farmaye ,positive
  dunya oh akhrit ma lanat tahara muqaddar han r in sha allah hamaisha rahay ge ,positive
  allah pak in ky saath aglay jahan bhi ho ,positive
  dill py lay gye vro   ,negative
  vichar ky bachay apni shakal check karo qatil lanat qatil teri pr qatil pmln zindah bad ,negative
  mila wahi jo pic main han but quality nahi theak ,negative
  maripor me police ki karrawai  lgw molah zubir group karnede giriftar qatil ,negative
  lanat hai ,negative
  qatil wo khud bhi mutarannum the is liye inho na asi lafzyat ka intakhab kya jo ghanaiyat ke peykar par pore utarte hai ,positive
  mashallah       allah pakapko kamyabi dy ameen ,positive
  pata nahi tum kon sa constitution follow kartay ho wo election nahi larh sakta campaign py koe pabandi nahi hoti plz huwa main firing na keya karo pehly kuch rules jan leya karo bs apnyapsy rules bana letay ho ,negative
  qatil un dino kenya main summer cup tournament khela jar aha tha or mushtaq ahmed unfit ho gai the ,negative
  kya baat hai bhai ka ,positive
  jin se inho ny lakhon dollars kharich kar ke jan churae hai ,negative
  hahahahah idea axhw hai qatil api ,negative
  main to barhe tassuf ke saath yai batana chah raha hon ke is se hamari funn oh saqafat ke shobay ki kaam maeiygi or mehroomi ka izhar hota hai ,negative
  to undono husband wife ki larai karwa dy bablo qatil ,negative
  aysay wakiyay sirf pmln he krwa sakti hai agar pti nayn krway hain to mard bano or aisa karo awam saamnayn unke pic dikha ky k is nayn pti ki railay main yay ruksaan kya or unhay sar e aam phansi do ,positive
  qatil alipur jail main in ki mulaqat calcutta corporation ke us waqat ke meyar mohammed usman se hui ,negative
  ku teri bedroom me bhi ghuse the ,negative
  bhai agar marital rape ka scene hai to phir to bye bye banta hai ,neutral
  hard role bhai     ,neutral
  apneapko bhech diya is biharan ny hum to inhe accha samajhti the ,positive
  wah wah wah ,positive
  yai tiktok kyun ghusaya he ismay sara mza khrab krdya ,negative
  yey  may banda tery andr kar dy saalo ,positive
  madarchod kuchh bhi pel deti ho ,neutral
  mashallahapdonon hamaisha khush rahe       ,positive
  qatil us waqat chief justice of pakistan janab justice saeed uz zaman sidiqi or kai dosre baradar judge âpcoâ ke tehat halaf uthane par tayaar na howae to unhen retired kar deya gaya ,negative
  mushtaq minhas allahapko sada salamat rakhy ,positive
  lanti boot polish ,negative
  jani i'm brown i'm light brown sardion main and dark brown garmiyon main also broke / so yeah ,positive
  okara me tagra muqabla hoga qatil ,positive
  lyari singoline me firing se  zakhmi qatil ,negative
  samajh sy baar han kyun jatey han log in fasol actives mtk hai imran khan psnd hai vote do in ko ,negative
  kya cartoon musalat kar deya hai iss mulk pa ,positive
  fan e adakari ke shobay main abid ali ko ek legend ki haisiyat hasil hai ,positive
  bahut acha drama episode hai bhai       i aam from india          ,neutral
  jhoot yahan sey pakra jata hai ky agar ek gift sell out sey agar pakistan ko billion dollars nahi milay tau phir tau jo kuchapk asli baap zardari or nawaz ny beich deya gifts apnay samajh ker us ki waja se tau phir saudia hamay kabhi zindagi mey mu na lagay  secondlyaptau esa lag raha hai jesey king salman ky bettey hain jo samnay beth ker email ka print parh rahay thay bulkay apnay he parha tha woh un ky liye kyu ky unhay tau parhna aata nahi tha     ,negative
  sexualized ker ky ,negative
  thank yn so much for making this kind of love story mare to hosh urgai mohabbat kya hota hai wo samajh lya is mohabbat ki aga hamari mohabbat bas ek time pas nikli ab to mare ekhe khwaees yai hai ky ekbar feroz qatil khan sir or iqra aziz mam se jarur mila lots of love from bangladesh          ,neutral
  sir daily  episode nikaliye ,neutral
  sahi me yai lufanga or bantiyar hai esharo me modi virodhi bhi hai ,neutral
  teri aukaat hee kya hai gaali dene ke siwaaaur jitnaa bhi kamaataa hai uss se kaam dimaagh or manners bhi hoti tou yahan iss tarah bakwas na kar raha hota tu ,neutral
  is waqat main ,positive
  dog sahir lodhi ,negative
  agla episode kab daloge kitni din ho gye wait karti huye dear ,neutral
  mian biwi jan bahaq qatil ,negative
  honestly speaking mary pas to is family or in logo ky liye good wishes b nahi hain ,neutral
  as salam o alikum hakeem sahab jo shaks fazool goi aor fazool wsawas aor dosro se bilawja bat by bat jhagarta ho asy shaks ky liye kuch btaein please yan to wo shaks chup rhy yan phir jab b boly to acha boly please hakeem sahab ap ko allah shad oh abad rakhy ameen sum ameen please meri madat kar dein ,positive
  bakwas band krpakistan ka qaumi baiwkoof ,negative
  imran khan sy ek request han ky is election ma jany ka koe faida nahi na league or ppp nay election nahi maan na ,negative
  bgyrat khine ky ,negative
  pakeza muhabat me rona hi pdta hai dost qatil ,neutral
  munawwar rana aasu aa gai ,neutral
  kuch khaas nahi hai ,negative
  bilkul sahekoi bhi in ky parents ko blame nhe kar rahaunfortunately un ka kaam yahi haim just surprised at people wo attended and participate sach shows ,positive
  goor nahi kia  he said dont be tharki tag tharki qatil ,negative
  aaj nasir kazmi ki th barsi manai jarahi hai qatil ,negative
  apko hi lagta hai bs ,negative
  online bapbat ho sakatay hain website par form fill kar ky or akhri ramazan ky akhir main b online bait kya jaye gaap apni masyal ky haal ky lia har waqat ya musabibal asbaab parhty rahai khula hazaro lakhon ki tadaad main or website se dars sunain  se  in sha allah apkay masyal allah haal kar dy ga ,positive
  yar tym pata chali kab ata raat m  ,positive
  naak ke ander sapa karo ,neutral
  chor chor without any opposition yn got the vote allah will punish you ,positive
  uk      laannat baijta ahh wo b sukhi sukhi ,negative
  ab yai na kahna banda ab mzaq bh na kre  ,negative
  mast song ,positive
 apjis kahndan se hen hamen un perapper fakhar he allahapko hifzo aman me rakhay ,positive
  neyat saaf nahin uske shaka se lag raha ,neutral
  very nice episode bohot mza aya dekhna main ,positive
  allah asi  betian bhi dain apko ,positive
  karimabad me firing se  shakhs janbahaq qatil ,negative
  elimi kitaabi muslim    ,negative
  oh mary chanda kar deya hai help ist'taat ky motabiq sab nay yai to bykaar content py bakwas marty han ,neutral
  lakh lanat saday tay       ,negative
  good luck mgr ya batman car qatil zara c b nahi lag rahe ,negative
  election krao mulk bachao ,positive
  school se kyun nahin mil pa raha pora gyan school ki fees maf kar do free ki tution band kar do ,neutral
  main un dm karni walo ki izzat karta hun warana zaroor or rolta ,negative
  jahil ko sab jahil hi dikhi dete hai  aman hindi nahi punjabi naam hai  dusri baat nakli or nasli me qatil frk hita hai  theak hai nakli  ,neutral
  dono mashallah bohot payara hai   ,positive
  mare pas alfaaz he kaam pad jatay hai ustad gapki tareef main ,positive
  kya inko kha bhi saktay han ,neutral
  chutia bana rahe hai qatil no record found ata hai sab esme ,neutral
  hahahaha main is main tumhay tag karnay wale thi ðÿðÿðÿðÿðÿ ,positive
  tyri maan ki chot ghashti ky bchy tyri maan ko poura pakistan chody or tyri maan ki chot kat qatil kar fry kar ky tujhay khilaon ga tyri bahen beti bewi ki chot main poura pakistan lun mary ga kuttay ky pily ,positive
  jo log apna asal kabool nahi karta wo kamyab bhi ho jyn to kya faida ,negative
  khudari or emandari ky alaa namonay ,positive
